angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.3,"[781, 268, 291, 367]",0.0,0.23,0.0,0.24,0.11,0.12
0.3,"[781, 267, 291, 368]",0.0,0.23,0.0,0.24,0.11,0.12
0.4,"[781, 268, 290, 365]",0.0,0.17,0.0,0.18,0.17,0.08
0.41,"[781, 268, 290, 365]",0.0,0.17,0.0,0.18,0.17,0.08
0.41,"[781, 268, 290, 365]",0.0,0.17,0.0,0.18,0.17,0.08
0.37,"[778, 263, 289, 366]",0.0,0.11,0.0,0.27,0.19,0.06
0.37,"[778, 263, 289, 366]",0.0,0.11,0.0,0.27,0.19,0.06
0.31,"[780, 260, 284, 360]",0.0,0.05,0.0,0.32,0.31,0.02
0.28,"[780, 261, 284, 361]",0.0,0.06,0.0,0.34,0.3,0.02
0.28,"[780, 261, 284, 361]",0.0,0.06,0.0,0.34,0.3,0.02
0.36,"[789, 269, 275, 351]",0.0,0.08,0.0,0.31,0.22,0.03
0.35,"[789, 269, 275, 351]",0.0,0.08,0.0,0.31,0.22,0.03
0.51,"[793, 279, 271, 342]",0.0,0.17,0.0,0.15,0.09,0.08
0.51,"[793, 279, 270, 342]",0.0,0.16,0.0,0.16,0.09,0.08
0.51,"[793, 279, 270, 342]",0.0,0.16,0.0,0.16,0.09,0.08
0.43,"[788, 267, 288, 381]",0.0,0.16,0.0,0.17,0.05,0.19
0.36,"[789, 269, 287, 378]",0.0,0.19,0.0,0.15,0.05,0.23
0.37,"[796, 271, 278, 369]",0.0,0.22,0.0,0.09,0.03,0.29
0.37,"[796, 271, 278, 369]",0.0,0.22,0.0,0.09,0.03,0.29
0.37,"[796, 271, 278, 369]",0.0,0.22,0.0,0.09,0.03,0.29
0.41,"[793, 272, 283, 368]",0.0,0.24,0.0,0.11,0.03,0.21
0.42,"[793, 271, 283, 369]",0.0,0.22,0.0,0.12,0.03,0.21
0.38,"[784, 265, 293, 376]",0.0,0.23,0.0,0.22,0.11,0.05
0.38,"[784, 265, 293, 376]",0.0,0.24,0.0,0.22,0.12,0.05
0.38,"[784, 265, 293, 376]",0.0,0.24,0.0,0.22,0.12,0.05
0.48,"[792, 279, 271, 344]",0.0,0.19,0.0,0.16,0.11,0.06
0.46,"[792, 279, 272, 345]",0.0,0.18,0.0,0.19,0.11,0.07
0.2,"[793, 279, 272, 344]",0.0,0.19,0.0,0.37,0.24,0.01
0.2,"[793, 279, 272, 344]",0.0,0.19,0.0,0.37,0.23,0.01
0.2,"[793, 279, 272, 344]",0.0,0.19,0.0,0.37,0.23,0.01
0.31,"[786, 273, 280, 362]",0.0,0.23,0.0,0.31,0.15,0.0
0.3,"[786, 273, 280, 362]",0.0,0.23,0.0,0.32,0.15,0.0
0.24,"[785, 270, 284, 357]",0.0,0.33,0.0,0.25,0.16,0.01
0.24,"[786, 270, 283, 357]",0.0,0.34,0.0,0.25,0.16,0.01
0.24,"[786, 270, 283, 357]",0.0,0.34,0.0,0.25,0.16,0.01
0.14,"[789, 263, 284, 359]",0.0,0.18,0.0,0.3,0.37,0.01
0.13,"[789, 262, 283, 360]",0.0,0.21,0.0,0.26,0.38,0.01
0.16,"[790, 263, 284, 360]",0.0,0.2,0.0,0.31,0.31,0.02
0.16,"[790, 263, 284, 360]",0.0,0.2,0.0,0.31,0.31,0.02
0.16,"[790, 263, 284, 360]",0.0,0.2,0.0,0.31,0.31,0.02
0.18,"[791, 264, 284, 358]",0.0,0.17,0.0,0.3,0.34,0.02
0.18,"[791, 264, 284, 358]",0.0,0.17,0.0,0.3,0.34,0.02
0.16,"[791, 253, 274, 343]",0.0,0.35,0.0,0.26,0.2,0.02
0.17,"[791, 252, 274, 344]",0.0,0.37,0.0,0.27,0.17,0.02
0.2,"[791, 252, 274, 343]",0.0,0.35,0.0,0.24,0.19,0.03
0.2,"[791, 252, 274, 343]",0.0,0.35,0.0,0.24,0.18,0.03
0.15,"[793, 253, 274, 343]",0.0,0.42,0.0,0.23,0.18,0.02
0.15,"[793, 253, 274, 343]",0.0,0.41,0.0,0.23,0.18,0.02
0.15,"[793, 253, 274, 343]",0.0,0.42,0.0,0.23,0.18,0.02
0.18,"[793, 251, 274, 346]",0.0,0.37,0.0,0.26,0.17,0.03
0.18,"[793, 251, 274, 346]",0.0,0.36,0.0,0.27,0.17,0.03
0.17,"[793, 252, 275, 344]",0.0,0.39,0.0,0.24,0.16,0.03
0.17,"[795, 252, 274, 344]",0.0,0.38,0.0,0.24,0.18,0.02
0.17,"[795, 252, 274, 344]",0.0,0.38,0.0,0.24,0.18,0.02
0.16,"[792, 249, 277, 347]",0.0,0.45,0.0,0.21,0.12,0.07
0.19,"[793, 249, 277, 348]",0.0,0.45,0.0,0.18,0.12,0.05
0.18,"[793, 249, 277, 348]",0.0,0.48,0.0,0.15,0.13,0.06
0.18,"[794, 249, 277, 349]",0.0,0.47,0.0,0.16,0.12,0.06
0.18,"[794, 249, 277, 349]",0.0,0.47,0.0,0.16,0.12,0.06
0.17,"[794, 251, 276, 346]",0.0,0.39,0.0,0.24,0.14,0.05
0.15,"[795, 253, 274, 343]",0.0,0.4,0.0,0.24,0.14,0.06
0.16,"[796, 253, 274, 343]",0.0,0.45,0.0,0.19,0.14,0.05
0.16,"[796, 253, 273, 342]",0.0,0.41,0.0,0.21,0.17,0.05
0.16,"[796, 253, 274, 343]",0.0,0.45,0.0,0.19,0.14,0.05
0.05,"[792, 242, 278, 354]",0.0,0.33,0.0,0.41,0.21,0.0
